imdb_id;original_language;popularity;revenue;runtime;vote_average;vote_count;genres;continent;action;adventure;animation;comedy;crime;documentary;drama;family;fantasy;history;horror;music;mystery;romance;science_fiction;tv_movie;thriller;war;western
tt0098327;de;6.905;0.0;107.0;7.5;217.0;['Drama'];Europe;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0098347;en;2.22;0.0;124.0;5.1;7.0;['Drama'];Americas;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0098350;en;4.133;0.0;102.0;4.7;38.0;['Science Fiction', 'Adventure'];Europe;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
tt0098356;en;6.68;401421.0;94.0;5.7;58.0;['Comedy', 'Drama', 'Romance'];Europe;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
tt0098360;ja;9.007;0.0;103.0;7.2;255.0;['Action', 'Crime', 'Drama'];Asia;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
tt0098375;en;6.031;0.0;97.0;4.9;44.0;['Horror', 'Science Fiction', 'Thriller'];Americas;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0
tt0098465;en;2.81;0.0;90.0;7.0;11.0;['Documentary', 'Music'];Americas;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
tt0098502;en;7.349;0.0;102.0;5.0;77.0;['Comedy', 'Horror', 'Action', 'Science Fiction'];Americas;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
tt0098554;en;14.586;79258538.0;100.0;6.8;888.0;['Comedy', 'Drama', 'Family'];Americas;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
tt0098649;en;5.023;0.0;90.0;4.5;23.0;['Comedy', 'Fantasy', 'Horror', 'Science Fiction'];Americas;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
tt0098999;hi;6.767;0.0;174.0;6.5;42.0;['Action', 'Crime', 'Drama'];Asia;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
