primaryTitle;startYear;rtRating
Cool Hand Luke;1967;100%
Come Live with Me;1941;
El Dorado;1966;100%
Day of Anger;1967;100%
Le Samourai;1967;100%
Titicut Follies;1967;100%
The Great Silence;1968;100%
The Heart Is a Lonely Hunter;1968;100%
It Started with Eve;1941;
Johnny Eager;1941;
King of the Zombies;1941;
Ladies in Retirement;1941;
The Little Foxes;1941;
Pretty Poison;1968;100%
Vixen!;1968;100%
Boy;1969;100%
Le Boucher;1970;100%
The Adversary;1970;100%
Spooks Run Wild;1941;
Sun Valley Serenade;1941;
Woodstock;1970;100%
The Murderer Lives at Number 21;1942;
The Children Are Watching Us;1944;
Black Dragons;1942;
Bowery at Midnight;1942;
We Won't Grow Old Together;1972;100%
Edge of Darkness;1943;
The New Land;1972;100%
My Name Is Nobody;1973;100%
In This Our Life;1942;
The Clockmaker of St. Paul;1974;100%
Vincent, Francois, Paul and the Others;1974;100%
The Mad Monster;1942;
Mirror;1975;100%
Carnival of Sinners;1943;
Kings of the Road;1976;100%
Love and Death;1975;100%
Manila in the Claws of Light;1975;100%
The Courtyard of the Ballads;1942;
Mother Kusters Goes to Heaven;1975;100%
Harlan County U.S.A.;1976;100%
A Special Day;1977;100%
The Chant of Jimmie Blacksmith;1978;100%
Last Hurrah for Chivalry;1979;100%
The Ape Man;1943;
Stalker;1979;100%
Ghosts on the Loose;1943;
Three Brothers;1981;100%
Fanny and Alexander;1982;100%
Son of the White Mare;1981;100%
The Memphis Belle: A Story of a Flying Fortress;1944;
The Adventures of Baron Munchausen;1943;
Old Acquaintance;1943;
An Egyptian Story;1982;100%
The Prefab People;1982;100%
Reuben, Reuben;1983;100%
Thank Your Lucky Stars;1943;
This Is the Army;1943;
El Sur;1983;100%
Entre Nous;1983;100%
The Dresser;1983;100%
Never Cry Wolf;1983;100%
The Makioka Sisters;1983;100%
Hollywood Canteen;1944;
The 4th Man;1983;100%
Zelig;1983;100%
Antonio Gaudi;1984;100%
Broadway Danny Rose;1984;100%
The Home and the World;1984;100%
Love Streams;1984;100%
Full Moon in Paris;1984;100%
The Monster Maker;1944;
The Terminator;1984;100%
One Body Too Many;1944;
My Life as a Dog;1985;100%
When Father Was Away on Business;1985;100%
Vagabond;1985;100%
Four Adventures of Reinette and Mirabelle;1987;100%
The Corn Is Green;1945;
Tampopo;1985;100%
The Emperor's Naked Army Marches On;1987;100%
Love Letters;1945;
Wings of Honneamise;1987;100%
The Naughty Nineties;1945;
Pride of the Marines;1945;
Law of Desire;1987;100%
On the Silver Globe;1988;100%
Camille Claudel;1988;100%
Johnny in the Clouds;1945;
Beauty and the Beast;1946;
High Hopes;1988;100%
The Brute Man;1946;
Miles from Home;1988;100%
A City of Sadness;1989;100%
May Fools;1990;100%
The Locket;1946;
My Father's Glory;1990;100%
Auntie Danielle;1990;100%
The Beautiful Troublemaker;1991;100%
A Brighter Summer Day;1991;100%
Hearts of Darkness: A Filmmaker's Apocalypse;1991;100%
Only Yesterday;1991;100%
Brother's Keeper;1992;100%
And Life Goes On;1992;100%
Bad Boy Bubby;1993;100%
Blue;1993;100%
The Music of Chance;1993;100%
Cold Water;1994;100%
Whistle Stop;1946;
Fist of Legend;1994;100%
Wild Reeds;1994;100%
Institute Benjamenta, or This Dream That One Calls Human Life;1995;100%
Maborosi;1995;100%
Toy Story;1995;100%
Bastard Out of Carolina;1996;100%
Hamsun;1996;100%
Drifting Clouds;1996;100%
It Happened on Fifth Avenue;1947;
Kids Return;1996;100%
Leila;1997;100%
The Mirror;1997;100%
Paradise Lost: The Child Murders at Robin Hood Hills;1996;100%
4 Little Girls;1997;100%
Nosotros los pobres;1948;
The October Man;1947;
The Long Way Home;1997;100%
Made in Hong Kong;1997;100%
Pickpocket;1997;100%
Khrustalyov, My Car!;1998;100%
I Became a Criminal;1947;
Lady Snowblood;1973;100%
Angst;1983;100%
Enchantment;1948;
My Voyage to Italy;1999;100%
Samsara;2001;100%
The Tale of Zatoichi Continues;1962;100%
Kabhi Khushi Kabhie Gham...;2001;100%
Behind the Sun;2001;100%
Bolivia;1999;100%
The Man of the Year;2003;100%
My Dear Secretary;1948;
Pusher II;2004;100%
C.R.A.Z.Y.;2005;100%
Unforgivable Blackness: The Rise and Fall of Jack Johnson;2004;100%
The Yacoubian Building;2006;100%
The Trials of Darryl Hunt;2006;100%
Sitting Pretty;1948;
Mind Game;2004;100%
Street Fight;2005;100%
McLibel;2005;100%
The Call of Cthulhu;2005;100%
The Winslow Boy;1948;
Small Town Gay Bar;2006;100%
Thin;2006;100%
The Man from Earth;2007;100%
Deliver Us from Evil;2006;100%
The Hidden Room;1949;
Holiday Affair;1949;
Fireworks Wednesday;2006;100%
Ghosts of Abu Ghraib;2007;100%
Grass is Greener;2019;100%
The Black Godfather;2019;100%
Gunjan Saxena: The Kargil Girl;2020;100%
The Reckless Moment;1949;
The Windermere Children;2020;100%
The Forgotten Battle;2020;100%
Tension;1949;
Josep;2020;100%
100 Days to Live;2019;100%
At War with the Army;1950;
Utopia;1950;
Beauty and the Devil;1950;
All Hands on Deck;2020;100%
